Name,Cap Rate,Vacancy Rate,Home Value to Rent Ratio,Rent as % of Income,Shadow Inventory %,Migration Total,Housing Unit Growth Rate,Building Permits,Vote Republican %,Vote Democrat %,Rental Rate,Rent For Houses,Home Value Growth (MoM),For Sale Inventory,Sale Inventory Growth (YoY),Inventory Surplus/Deficit,Price Cut %,Days on Market,Days on Market Growth (YoY),Inventory as % of Houses,Median Listing Price,Median Listing Price (YoY),New Listing Count,New Listing Count (YoY),Sale Inventory Growth (MoM),Population,Median Household Income,Population Growth,Income Growth,Remote Work %,Home Value,Home Value Growth (YoY),Home Value Growth (5-Year),Overvalued %,Value / Income Ratio,Mortgage Payment,Salary to Afford a House,Mtg Payment as % of Income,Property Tax Rate,Buy v Rent Differential,% Change from June 2022,% Crash from 2007-12,College Degree Rate,Homeownership Rate,Mortgaged Home %,Median Age,Poverty Rate,Housing Units,Migration % of Population,Rent Growth (YoY),Home Price Forecast,Investor Forecast,Long-Term Growth
"Reading, PA",4.6%,5.0%,13.4,22.1%,0.2%,983,2.7%,333,55.6%,43.4%,"$1,425","$1,781",0.85%,364,19.5%,-38.0%,14.0%,50,-3.3%,0.3%,"$330,000",7.3%,260,1.5%,-4.5%,"432,821","$77,188",3.0%,14.0%,10.2%,"$286,664",6.2%,56.4%,22.7%,3.7,"$2,041","$81,671",31.7%,1.5%,43.2%,15.5%,-12.5%,26.9%,72.0%,60%,39.5,10.8%,"172,010",0.2%,8.2%,61,51,48.0
"Red Bluff, CA",5.6%,9.6%,13.1,29.4%,6.7%,-281,0.4%,-,69.7%,27.9%,"$1,548","$1,935",0.37%,198,31.1%,8.6%,21.3%,106,28.4%,1.1%,"$417,500",8.7%,52,-10.3%,-8.7%,"64,896","$63,070",2.4%,17.9%,10.2%,"$305,886",0.4%,28.1%,6.5%,4.8,"$1,953","$78,142",37.1%,0.6%,26.1%,-5.9%,-,18.8%,67.5%,56%,40.1,14.4%,"27,572",-0.4%,-,44,-,62.0
"Redding, CA",4.6%,9.9%,15.6,24.1%,5.7%,239,1.4%,240,66.9%,30.5%,"$1,561","$1,952",0.21%,497,36.0%,7.3%,17.9%,84,18.0%,0.9%,"$417,000",-3.5%,170,10.3%,-9.4%,"180,366","$77,467",0.1%,22.7%,9.5%,"$365,607",1.3%,32.4%,-4.6%,4.7,"$2,356","$94,264",36.5%,0.7%,50.8%,-2.7%,-37.5%,22.8%,68.0%,64%,41.2,11.9%,"80,302",0.1%,5.1%,47,54,50.0
"Reno, NV",3.7%,10.1%,19.8,25.6%,4.0%,417,11.2%,"4,340",48.5%,49.0%,"$1,826","$2,283",0.46%,"1,274",28.9%,24.0%,21.9%,75,-1.6%,0.8%,"$569,998",-4.9%,554,21.4%,-9.7%,"502,161","$85,434",6.9%,18.4%,11.2%,"$543,675",4.1%,43.8%,20.3%,6.3,"$3,389","$135,568",47.6%,0.4%,85.5%,-3.7%,-55.2%,33.6%,64.3%,63%,39.7,9.1%,"225,925",0.0%,3.6%,45,53,56.0
"Rexburg, ID",2.9%,26.2%,24.1,22.0%,30.3%,"-1,178",3.3%,-,80.9%,15.3%,"$1,108","$1,385",0.17%,148,8.4%,51.4%,14.4%,113,34.1%,1.0%,"$559,450",11.9%,38,26.6%,-11.1%,"67,279","$60,213",30.2%,38.0%,11.9%,"$401,388",1.9%,62.3%,24.8%,6.6,"$2,518","$100,745",50.1%,0.4%,127.2%,-7.5%,-,36.5%,50.4%,62%,22.8,12.5%,"23,438",-1.7%,-0.2%,38,58,52.0
"Richmond, IN",5.3%,12.7%,13.3,17.4%,1.4%,106,-2.1%,-,65.3%,32.9%,$766,$957,0.99%,156,52.9%,-15.5%,18.7%,64,-16.6%,0.8%,"$149,450",-6.5%,40,-16.6%,-4.5%,"66,127","$52,833",0.2%,10.1%,6.1%,"$153,357",7.3%,51.2%,23.5%,2.9,"$1,008","$40,357",22.9%,0.8%,31.6%,13.8%,-,20.7%,68.3%,59%,40.9,17.9%,"30,773",0.1%,-,55,-,47.0
"Richmond, KY",5.3%,9.3%,13.9,21.7%,0.8%,"1,493",9.2%,-,66.4%,31.6%,"$1,152","$1,440",1.40%,323,35.7%,18.3%,15.1%,80,16.4%,0.9%,"$299,900",-5.3%,106,32.5%,-2.8%,"110,814","$63,569",3.8%,33.7%,8.0%,"$240,535",6.7%,49.8%,12.6%,3.7,"$1,535","$61,427",28.9%,0.6%,33.2%,12.6%,-2.6%,30.7%,64.5%,54%,37.0,13.9%,"48,044",1.3%,7.7%,46,56,57.0
"Richmond, VA",4.8%,6.9%,14.9,23.0%,0.6%,"9,742",9.8%,"8,999",42.4%,55.7%,"$1,649","$2,061",0.21%,"1,957",13.4%,-11.1%,15.3%,56,-7.4%,0.5%,"$421,225",-4.9%,"1,130",-4.5%,-9.4%,"1,344,061","$86,018",5.0%,25.8%,16.5%,"$368,643",4.3%,48.6%,17.7%,4.2,"$2,379","$95,178",33.1%,0.7%,44.2%,11.2%,-19.0%,41.9%,67.6%,68%,39.0,9.1%,"575,606",0.7%,6.4%,52,52,52.0
"Riverside, CA",4.7%,9.3%,15.2,34.0%,8.5%,"3,012",3.3%,"16,682",49.4%,47.8%,"$2,541","$3,176",0.18%,"10,847",39.0%,15.5%,19.1%,71,11.0%,1.0%,"$599,000",2.3%,"5,172",14.2%,-2.0%,"4,688,053","$89,599",1.4%,26.2%,11.4%,"$582,674",3.3%,54.2%,21.1%,6.5,"$3,757","$150,317",50.3%,0.7%,47.8%,3.5%,-52.3%,25.1%,66.1%,68%,36.1,11.4%,"1,627,477",0.0%,3.6%,46,59,49.0
"Riverton, WY",3.6%,15.2%,19.5,19.4%,9.5%,323,-2.8%,-,66.9%,30.0%,"$1,069","$1,336",0.42%,117,-3.3%,-31.1%,5.0%,106,-7.2%,1.0%,"$495,000",41.7%,22,-15.3%,-8.5%,"39,472","$65,938",-1.5%,17.9%,9.0%,"$312,733",3.3%,52.1%,16.9%,4.7,"$1,996","$79,861",36.3%,0.6%,86.7%,10.6%,-,25.2%,70.6%,48%,39.4,11.2%,"17,471",0.8%,-,55,-,32.0
"Roanoke, VA",5.5%,10.6%,13.1,25.3%,5.2%,"1,322",1.4%,726,58.4%,39.9%,"$1,411","$1,764",0.46%,564,15.9%,-23.7%,21.3%,67,7.1%,0.5%,"$343,975",0.5%,240,-11.1%,-9.3%,"313,388","$66,847",-0.2%,10.5%,13.5%,"$277,385",5.4%,53.8%,22.8%,4.1,"$1,797","$71,882",32.2%,0.7%,27.3%,13.8%,-11.0%,30.7%,68.2%,60%,42.7,11.2%,"148,601",0.4%,5.6%,55,49,37.0
"Rochester, MN",5.4%,8.2%,12.7,22.9%,2.5%,79,5.8%,"1,704",49.2%,48.2%,"$1,659","$2,073",0.53%,386,11.8%,1.9%,13.5%,85,9.6%,0.5%,"$420,725",3.5%,146,1.3%,-13.2%,"228,611","$86,917",4.2%,14.4%,15.3%,"$316,526",3.2%,35.8%,26.2%,3.6,"$2,130","$85,209",29.4%,1.0%,28.4%,3.6%,-12.5%,42.8%,74.6%,62%,39.0,7.8%,"100,539",0.0%,5.4%,48,47,55.0
"Rochester, NY",4.9%,8.2%,11.2,23.6%,2.7%,"-2,899",2.7%,"1,562",45.9%,53.1%,"$1,475","$1,844",0.41%,657,6.6%,-38.5%,5.5%,53,56.6%,0.2%,"$258,450",5.5%,568,4.4%,-7.5%,"1,077,716","$74,759",0.5%,20.3%,12.5%,"$249,580",7.9%,61.8%,28.4%,3.3,"$1,971","$78,879",31.6%,2.4%,33.6%,19.6%,-2.7%,38.4%,67.3%,59%,41.1,11.2%,"495,330",-0.2%,4.9%,60,48,49.0
"Rock Springs, WY",4.5%,12.2%,16.1,17.9%,1.4%,-192,-2.0%,-,75.1%,22.3%,"$1,166","$1,457",1.04%,73,-0.6%,-42.8%,35.6%,56,-38.0%,0.5%,"$332,175",14.8%,28,-12.5%,-2.6%,"41,786","$77,993",-5.2%,4.2%,2.8%,"$282,228",6.5%,27.1%,18.5%,3.6,"$1,795","$71,838",27.6%,0.6%,54.0%,12.5%,-,20.3%,73.9%,53%,37.4,12.5%,"19,226",-0.4%,5.8%,58,29,37.0
"Rockford, IL",5.8%,7.2%,10.2,22.0%,0.9%,-423,-0.3%,266,50.0%,47.8%,"$1,255","$1,568",0.73%,295,-4.8%,-46.2%,14.1%,53,-5.8%,0.3%,"$235,450",13.6%,216,17.3%,-17.9%,"334,238","$68,299",-1.0%,11.8%,9.8%,"$192,541",9.7%,60.1%,31.7%,2.8,"$1,494","$59,796",26.2%,2.2%,19.0%,20.5%,-20.3%,24.1%,67.5%,57%,40.5,14.0%,"145,262",-0.1%,5.7%,62,46,43.0
"Rocky Mount, NC",7.3%,12.6%,10.3,24.2%,3.5%,"1,401",-1.0%,458,46.5%,52.5%,"$1,264","$1,580",0.09%,396,32.6%,24.6%,17.6%,80,29.2%,1.0%,"$284,990",-0.8%,128,14.2%,-3.7%,"145,328","$62,615",-1.3%,34.7%,9.1%,"$195,841",2.3%,65.1%,13.5%,3.1,"$1,261","$50,479",24.1%,0.7%,-0.2%,11.9%,-11.0%,19.7%,58.6%,52%,41.7,14.6%,"67,385",0.9%,10.6%,45,43,46.0
"Rolla, MO",3.2%,12.8%,21.2,14.0%,2.8%,122,0.2%,-,70.8%,27.7%,$660,$825,0.68%,132,99.2%,10.8%,19.6%,59,0.8%,1.1%,"$274,900",14.7%,26,-31.5%,3.9%,"44,948","$56,535",0.3%,28.0%,6.9%,"$210,206",8.2%,52.3%,11.8%,3.7,"$1,343","$53,754",28.5%,0.6%,103.5%,10.4%,-,31.5%,61.9%,52%,36.2,15.2%,"20,246",0.2%,5.7%,52,43,58.0
"Rome, GA",5.7%,8.0%,12.4,22.1%,1.1%,824,1.2%,382,70.7%,28.7%,"$1,170","$1,462",0.23%,300,43.5%,19.7%,22.1%,85,46.1%,1.2%,"$275,000",0.0%,90,-15.0%,-7.1%,"100,113","$63,339",2.2%,24.4%,6.1%,"$219,160",4.2%,56.6%,27.8%,3.4,"$1,449","$57,965",27.4%,0.9%,23.8%,8.3%,-21.0%,30.0%,63.3%,51%,37.8,15.4%,"41,150",0.8%,4.1%,45,53,50.0
"Roseburg, OR",5.0%,6.3%,14.4,29.4%,2.1%,"1,082",0.7%,-,67.5%,29.9%,"$1,525","$1,906",0.55%,321,34.9%,12.9%,20.5%,88,1.4%,0.8%,"$438,950",14.0%,88,29.4%,-5.1%,"112,435","$62,106",1.9%,27.8%,9.7%,"$331,724",2.4%,48.9%,20.1%,5.3,"$2,117","$84,697",40.9%,0.6%,38.8%,2.2%,-22.0%,19.2%,73.8%,50%,46.7,15.4%,"50,956",0.9%,1.7%,45,40,40.0
"Roswell, NM",12.2%,11.9%,6.4,34.0%,0.9%,-307,-2.3%,-,71.5%,26.7%,"$1,503","$1,879",0.36%,183,20.0%,6.7%,13.9%,76,-20.6%,1.1%,"$267,250",21.3%,60,0.0%,-4.4%,"64,446","$53,069",-0.3%,26.3%,4.9%,"$145,692",6.0%,17.2%,1.3%,2.7,$931,"$37,278",21.0%,0.6%,-38.0%,-5.1%,-,18.2%,68.6%,43%,36.9,19.9%,"26,794",-0.4%,14.7%,50,49,50.0
"Russellville, AR",6.2%,11.5%,12.4,20.9%,1.6%,475,0.7%,-,75.8%,21.8%,"$1,000","$1,251",0.45%,255,35.0%,17.8%,22.4%,86,-0.5%,1.1%,"$257,450",2.5%,76,0.0%,-5.7%,"84,025","$57,309",-1.3%,29.1%,5.0%,"$186,497",3.7%,32.6%,3.7%,3.2,"$1,162","$46,488",24.3%,0.4%,16.1%,6.9%,-1.5%,23.0%,67.6%,51%,36.9,12.6%,"36,333",0.5%,6.5%,45,46,45.0
"Ruston, LA",5.7%,11.1%,13.2,32.6%,1.1%,-22,2.8%,-,61.9%,36.4%,"$1,056","$1,320",0.31%,91,11.7%,-3.3%,17.1%,118,3.9%,0.9%,"$263,725",-7.1%,8,-20.0%,-3.7%,"48,160","$38,795",1.6%,9.3%,10.4%,"$210,738",1.0%,16.6%,14.2%,5.4,"$1,322","$52,896",40.9%,0.4%,25.1%,0.8%,-2.1%,35.9%,53.5%,42%,28.6,26.6%,"20,650",-0.0%,2.0%,46,39,29.0
"Sacramento, CA",4.1%,7.9%,16.8,28.1%,5.4%,"-1,101",5.9%,"11,926",42.4%,54.2%,"$2,275","$2,844",0.16%,"2,853",33.8%,4.5%,18.9%,61,11.0%,0.4%,"$615,000",-2.3%,"2,036",31.6%,-9.6%,"2,420,608","$96,891",3.2%,26.3%,18.3%,"$574,156",2.1%,35.1%,6.9%,5.9,"$3,727","$149,081",46.1%,0.7%,63.7%,-4.8%,-48.8%,38.1%,63.5%,68%,38.9,10.2%,"965,524",-0.0%,3.5%,47,60,60.0
"Saginaw, MI",7.0%,10.6%,9.5,21.0%,1.6%,-243,-1.6%,168,50.9%,47.6%,"$1,061","$1,326",1.01%,332,6.5%,-1.8%,26.6%,63,-9.7%,0.5%,"$171,825",7.4%,136,17.2%,-5.5%,"187,782","$60,450",-1.5%,25.1%,10.0%,"$152,724",6.0%,57.8%,27.3%,2.5,"$1,096","$43,866",21.7%,1.5%,3.3%,14.6%,-22.6%,22.2%,76.6%,49%,41.2,14.5%,"86,343",-0.1%,5.9%,52,49,48.0
"Salem, OR",3.8%,4.4%,17.7,25.8%,0.6%,-212,6.2%,"1,854",49.3%,46.9%,"$1,639","$2,049",0.17%,786,7.9%,14.0%,22.7%,79,0.6%,0.7%,"$523,000",8.5%,330,15.3%,-9.6%,"436,546","$76,045",1.0%,15.7%,12.7%,"$437,316",1.8%,41.1%,22.2%,5.7,"$2,855","$114,234",45.0%,0.8%,74.1%,-0.1%,-24.6%,28.3%,61.8%,63%,37.7,13.1%,"169,765",-0.0%,2.0%,44,45,40.0
"Salina, KS",5.7%,8.0%,11.7,17.5%,0.6%,-188,-1.0%,-,66.9%,31.3%,$955,"$1,194",0.49%,91,7.0%,-8.3%,15.3%,75,19.2%,0.5%,"$223,425",1.5%,40,-13.0%,-4.7%,"59,583","$65,277",-2.1%,24.6%,6.6%,"$168,364",3.7%,41.5%,12.4%,2.5,"$1,176","$47,070",21.6%,1.3%,23.1%,9.6%,-,28.6%,67.8%,55%,40.1,11.6%,"26,830",-0.3%,4.3%,51,46,57.0
"Salinas, CA",3.4%,9.6%,20.2,36.6%,9.4%,"-4,850",2.7%,625,33.5%,63.4%,"$2,746","$3,432",0.14%,379,28.4%,-6.1%,19.7%,81,20.5%,0.4%,"$1,297,000",5.3%,194,32.8%,-8.8%,"430,723","$89,795",-1.1%,15.8%,8.8%,"$832,770",2.8%,44.7%,16.4%,9.2,"$5,351","$214,042",71.5%,0.6%,94.8%,2.3%,-55.7%,28.9%,53.0%,62%,35.9,12.8%,"146,355",-1.1%,6.8%,50,42,43.0
"Salisbury, MD",5.1%,31.6%,14.0,32.7%,4.8%,"8,888",6.7%,"3,089",55.0%,43.3%,"$1,963","$2,453",0.11%,299,33.2%,-6.7%,15.8%,85,11.9%,0.9%,"$299,900",9.0%,84,-20.7%,-6.8%,"446,273","$71,938",8.9%,17.3%,7.6%,"$413,828",1.0%,49.2%,11.5%,5.7,"$2,689","$107,573",44.8%,0.7%,36.9%,3.8%,-28.8%,25.6%,60.7%,61%,37.4,15.0%,"268,168",1.9%,7.9%,49,54,48.0
"Salt Lake City, UT",3.2%,4.8%,21.8,20.6%,1.3%,"-6,599",13.7%,"7,813",45.0%,52.0%,"$1,656","$2,071",0.53%,"2,235",20.0%,32.6%,25.4%,67,0.7%,0.7%,"$567,495",-0.8%,"1,122",17.6%,-6.3%,"1,267,864","$96,297",3.7%,20.0%,18.5%,"$543,782",2.3%,50.3%,27.9%,5.6,"$3,424","$136,976",42.6%,0.5%,106.6%,-3.5%,-17.9%,39.2%,66.4%,69%,34.2,8.7%,"484,627",-0.5%,1.0%,40,49,52.0
"San Angelo, TX",5.7%,9.8%,11.9,26.4%,2.2%,-134,7.7%,269,73.9%,24.9%,"$1,271","$1,589",0.38%,610,54.0%,65.9%,19.5%,70,-2.4%,2.0%,"$291,325",3.2%,160,40.3%,2.8%,"121,878","$57,700",0.8%,4.7%,7.7%,"$228,674",3.1%,33.9%,23.1%,3.9,"$1,572","$62,916",32.7%,1.2%,23.7%,5.0%,-,25.2%,59.1%,47%,37.3,13.6%,"53,977",-0.1%,4.8%,37,46,49.0
"San Antonio, TX",4.8%,9.0%,13.1,22.9%,1.7%,"36,313",19.4%,"14,861",52.0%,46.7%,"$1,428","$1,785",-0.21%,"10,563",15.5%,43.8%,26.0%,78,3.3%,1.6%,"$325,000",-3.2%,"3,164",-2.4%,-4.1%,"2,692,599","$74,658",7.3%,19.7%,14.7%,"$280,648",-2.1%,33.2%,15.0%,3.7,"$1,998","$79,927",32.1%,1.5%,39.9%,-5.2%,-4.6%,33.1%,64.2%,60%,36.2,12.6%,"1,078,756",1.3%,-1.2%,35,51,56.0
"San Diego, CA",3.3%,6.3%,20.7,34.0%,3.5%,"-19,978",3.0%,"12,470",40.1%,56.9%,"$2,997","$3,747",0.05%,"3,544",44.5%,4.1%,19.4%,51,17.4%,0.5%,"$950,000",-2.7%,"2,460",15.9%,-4.1%,"3,269,973","$105,747",-2.1%,25.9%,16.0%,"$935,237",4.3%,57.6%,19.5%,8.8,"$6,001","$240,041",68.0%,0.6%,100.1%,5.5%,-35.9%,43.5%,54.4%,68%,37.6,9.3%,"1,261,999",-0.6%,2.9%,48,46,45.0
"San Francisco, CA",2.5%,7.0%,25.3,27.4%,2.4%,"-23,654",3.9%,"6,865",22.1%,74.0%,"$2,983","$3,729",0.09%,"3,347",23.8%,18.9%,13.7%,56,14.4%,0.3%,"$882,000",-6.6%,"3,200",21.3%,-5.1%,"4,566,961","$130,347",-3.4%,13.6%,20.5%,"$1,133,022",2.2%,23.7%,9.3%,8.6,"$7,354","$294,197",67.7%,0.7%,146.5%,-7.5%,-32.2%,53.0%,55.2%,67%,40.7,8.9%,"1,897,192",-0.5%,3.6%,43,34,50.0
"San Jose, CA",1.8%,5.4%,32.8,24.7%,1.2%,"-8,529",4.0%,"6,828",28.6%,67.5%,"$3,225","$4,031",0.79%,795,19.3%,-0.5%,11.5%,44,4.8%,0.2%,"$1,268,000",-1.5%,962,20.5%,-3.6%,"1,945,767","$156,266",-2.5%,19.4%,16.1%,"$1,587,073",7.7%,46.0%,28.7%,10.1,"$10,206","$408,247",78.3%,0.6%,216.4%,4.3%,-30.7%,55.8%,54.5%,65%,38.2,7.1%,"725,621",-0.4%,4.5%,51,27,44.0
"San Luis Obispo, CA",3.4%,12.9%,20.1,38.0%,12.4%,-236,3.0%,950,43.0%,53.9%,"$2,933","$3,666",0.36%,458,29.0%,-11.9%,18.1%,86,9.9%,0.5%,"$1,099,250",10.2%,236,21.6%,-3.8%,"281,639","$92,483",-0.8%,19.6%,12.9%,"$884,681",1.8%,43.0%,16.6%,9.5,"$5,700","$228,029",73.9%,0.7%,94.3%,4.6%,-33.0%,42.1%,62.4%,63%,41.0,12.4%,"126,691",-0.0%,4.9%,50,42,42.0
"Sandpoint, ID",4.0%,26.3%,18.5,40.2%,26.7%,"1,246",6.2%,-,71.8%,25.7%,"$2,226","$2,783",0.18%,363,18.0%,38.4%,9.0%,113,-9.6%,1.7%,"$820,000",-1.4%,72,50.0%,-5.4%,"49,456","$66,471",15.7%,32.2%,11.6%,"$620,025",2.3%,75.0%,25.0%,9.3,"$3,837","$153,504",69.2%,0.3%,72.3%,-6.6%,-,28.9%,77.6%,52%,48.2,10.1%,"26,623",2.3%,8.1%,43,50,54.0
"Sanford, NC",6.6%,5.1%,11.2,31.9%,0.3%,"1,476",11.9%,-,58.1%,40.7%,"$1,634","$2,042",0.43%,226,27.7%,58.3%,18.0%,77,-5.5%,1.3%,"$355,750",-3.2%,84,23.5%,-3.2%,"67,059","$61,342",11.5%,22.7%,5.7%,"$275,927",2.8%,74.6%,44.6%,4.4,"$1,777","$71,082",34.7%,0.6%,8.7%,13.9%,-10.3%,22.4%,65.7%,59%,40.5,17.0%,"27,376",2.2%,4.9%,39,52,48.0
"Santa Cruz, CA",3.0%,7.5%,22.6,37.2%,7.2%,"-3,059",0.3%,379,20.8%,75.2%,"$3,344","$4,180",-0.23%,290,45.1%,37.2%,13.5%,73,6.5%,0.4%,"$1,158,875",9.1%,170,30.7%,-10.6%,"261,547","$107,743",-4.6%,20.6%,14.7%,"$1,134,675",0.4%,39.1%,11.1%,10.5,"$7,270","$290,827",80.9%,0.6%,117.3%,-6.3%,-32.1%,44.4%,60.1%,61%,39.8,12.0%,"107,127",-1.1%,5.5%,42,37,43.0
"Santa Fe, NM",4.0%,10.5%,18.2,29.5%,6.2%,493,8.4%,"1,042",24.4%,73.3%,"$1,980","$2,475",0.08%,520,31.9%,12.6%,16.6%,98,10.1%,0.9%,"$759,027",-6.8%,190,41.7%,-9.6%,"155,956","$80,305",3.9%,31.0%,16.6%,"$543,522",1.8%,44.2%,12.0%,6.7,"$3,408","$136,328",50.9%,0.4%,72.1%,3.1%,-20.2%,45.8%,68.8%,53%,49.3,11.8%,"79,707",0.3%,2.5%,47,54,46.0
"Santa Maria, CA",3.9%,6.7%,17.8,46.6%,5.4%,"-4,822",2.2%,635,35.1%,61.8%,"$3,613","$4,516",-0.04%,449,18.3%,-11.5%,16.1%,74,13.0%,0.5%,"$1,814,000",3.6%,240,7.1%,-4.5%,"441,257","$93,020",-1.1%,22.9%,11.7%,"$967,800",3.4%,61.1%,23.1%,10.4,"$6,211","$248,473",80.1%,0.6%,71.9%,6.6%,-45.7%,36.1%,50.7%,60%,34.9,14.2%,"161,890",-1.0%,3.9%,51,48,39.0
"Santa Rosa, CA",3.3%,7.7%,20.2,30.5%,6.2%,-952,1.8%,"2,034",25.2%,71.4%,"$2,614","$3,267",-0.00%,592,30.7%,16.1%,14.0%,78,6.9%,0.4%,"$962,000",1.1%,360,50.0%,-15.2%,"481,812","$102,721",-3.6%,16.9%,15.0%,"$793,793",0.9%,22.5%,1.4%,7.7,"$5,122","$204,890",59.8%,0.7%,95.9%,-0.7%,-43.3%,37.4%,64.6%,67%,43.3,8.6%,"209,002",-0.1%,3.1%,43,33,44.0
"Savannah, GA",5.7%,10.2%,12.6,28.1%,4.9%,"5,277",13.4%,"2,829",50.0%,49.3%,"$1,796","$2,245",-0.09%,"1,553",65.7%,2.8%,24.2%,73,21.2%,1.4%,"$421,450",0.2%,560,-11.6%,-5.3%,"421,877","$76,699",9.9%,27.0%,12.0%,"$342,025",4.3%,66.1%,23.5%,4.4,"$2,219","$88,771",34.7%,0.7%,23.5%,17.9%,-19.3%,37.1%,62.3%,63%,37.0,11.4%,"183,395",1.2%,3.0%,49,68,52.0
"Scranton, PA",6.3%,10.9%,10.7,25.2%,3.9%,"2,836",0.1%,531,55.2%,44.0%,"$1,263","$1,579",0.42%,824,11.1%,-26.4%,22.2%,69,-1.0%,0.4%,"$250,000",7.5%,372,32.8%,-8.7%,"569,586","$60,010",2.4%,10.5%,9.6%,"$204,497",7.2%,49.5%,22.0%,3.4,"$1,435","$57,422",28.7%,1.3%,13.5%,12.5%,-4.2%,26.3%,67.3%,51%,41.9,15.7%,"264,797",0.4%,5.6%,57,58,46.0
"Searcy, AR",5.3%,10.1%,14.1,20.1%,2.7%,928,1.3%,-,79.4%,18.2%,$918,"$1,147",0.60%,216,48.9%,17.7%,21.0%,73,9.8%,0.9%,"$215,000",-6.5%,86,38.7%,-3.3%,"78,452","$54,761",-0.3%,26.1%,3.8%,"$195,214",4.3%,46.7%,14.8%,3.5,"$1,229","$49,162",26.9%,0.5%,33.8%,13.6%,2.9%,22.4%,74.3%,50%,38.3,15.9%,"34,406",1.1%,-,48,-,39.0
"Seattle, WA",2.9%,6.1%,22.1,23.5%,1.5%,"-1,099",7.2%,"17,456",30.2%,65.7%,"$2,220","$2,776",0.47%,"4,364",31.4%,27.1%,15.6%,62,5.0%,0.4%,"$725,813",-3.1%,"3,434",24.6%,-11.5%,"4,044,837","$112,958",2.6%,20.1%,20.3%,"$736,331",5.1%,47.4%,19.4%,6.5,"$4,830","$193,204",51.3%,0.8%,117.4%,-1.8%,-33.1%,48.6%,59.8%,69%,37.8,8.4%,"1,734,427",-0.0%,3.8%,43,42,53.0
"Sebastian, FL",7.8%,16.8%,9.7,40.6%,14.6%,"3,761",8.1%,"1,021",63.3%,36.0%,"$2,519","$3,149",-0.36%,"1,836",33.8%,43.4%,27.2%,75,6.0%,2.6%,"$450,000",-6.6%,568,6.7%,7.0%,"169,795","$74,378",7.8%,24.4%,11.7%,"$370,112",-1.8%,56.4%,19.0%,4.9,"$2,360","$94,430",38.0%,0.6%,-6.2%,0.5%,-49.3%,33.1%,79.8%,44%,55.9,11.0%,"87,613",2.2%,1.0%,37,78,53.0
"Sebring, FL",7.1%,20.1%,10.6,34.7%,18.0%,"3,007",6.2%,837,70.0%,29.3%,"$1,510","$1,887",0.01%,787,21.8%,51.3%,25.4%,77,18.4%,1.7%,"$304,925",-7.5%,264,37.5%,0.5%,"107,614","$52,188",2.0%,7.1%,7.5%,"$240,146",1.2%,68.7%,33.6%,4.6,"$1,540","$61,619",35.4%,0.6%,2.0%,9.2%,-48.7%,22.6%,80.0%,37%,54.4,19.2%,"59,245",2.7%,3.3%,36,60,36.0
"Seneca, SC",7.9%,19.6%,9.9,32.2%,18.0%,"1,522",5.0%,-,75.1%,23.6%,"$1,841","$2,301",0.22%,283,-4.3%,-13.0%,21.1%,85,0.5%,0.9%,"$384,450",7.6%,94,-16.0%,-5.0%,"81,221","$68,466",3.6%,42.0%,8.5%,"$275,354",5.0%,61.8%,8.7%,4.0,"$1,693","$67,730",29.6%,0.3%,-8.0%,8.9%,-,29.5%,74.3%,48%,47.2,16.9%,"42,857",1.8%,4.9%,52,60,56.0
"Sevierville, TN",4.9%,29.1%,15.9,33.4%,19.5%,842,3.4%,-,80.0%,18.9%,"$1,694","$2,118",-0.53%,"1,413",34.8%,88.2%,25.7%,100,24.2%,3.8%,"$677,450",-8.4%,348,17.5%,-10.8%,"99,415","$60,858",1.5%,5.3%,7.0%,"$404,340",-3.0%,64.7%,42.2%,6.6,"$2,458","$98,321",48.4%,0.2%,45.0%,-7.2%,-16.1%,22.3%,69.3%,49%,43.4,12.0%,"60,304",0.8%,3.3%,27,38,39.0
"Shawnee, OK",6.6%,10.7%,11.3,21.4%,0.9%,626,1.3%,-,72.6%,25.2%,"$1,029","$1,286",0.44%,292,24.2%,50.7%,22.8%,66,-10.1%,1.5%,"$237,500",1.7%,90,18.4%,3.0%,"73,791","$57,710",1.5%,7.8%,6.8%,"$175,481",5.0%,59.1%,34.8%,3.0,"$1,120","$44,839",23.3%,0.6%,8.9%,12.4%,-0.9%,20.2%,67.0%,48%,38.3,15.0%,"30,413",0.8%,4.1%,40,43,46.0
"Sheboygan, WI",3.6%,5.7%,16.8,18.1%,2.8%,199,2.9%,434,57.3%,41.0%,"$1,124","$1,405",0.82%,181,42.1%,-20.8%,14.4%,56,-0.8%,0.4%,"$366,000",3.4%,68,30.7%,-10.6%,"117,752","$74,360",1.9%,22.4%,9.7%,"$284,408",8.4%,55.1%,28.0%,3.8,"$1,964","$78,564",31.6%,1.2%,74.7%,19.0%,-,26.8%,71.1%,61%,42.6,8.5%,"52,869",0.1%,8.9%,56,33,45.0
